"Genename"	0	"1h"	"6h"	"12h"	"24h"	"36h"	"48h"	"72h"
ENSMUSG00000027102:HOXD8	0.00	0.21	0.46	-0.57	-1.44	-1.52	-1.65	-1.86
ENSMUSG00000027130:SLC12A6	0.00	-0.41	-0.86	-1.04	-1.09	-1.45	-1.07	-0.27
ENSMUSG00000027133:NOP10	0.00	0.06	0.24	0.39	0.84	1.16	1.14	0.75
ENSMUSG00000027134:LPCAT4	0.00	0.10	-0.01	0.06	0.28	1.67	2.15	2.29
ENSMUSG00000027165:B230118H07RIK	0.00	0.11	0.41	0.43	0.70	0.93	1.14	1.43
ENSMUSG00000027171:PRRG4	0.00	0.25	0.98	1.34	1.63	1.94	1.88	2.34
ENSMUSG00000027175:TCP11L1	0.00	-0.36	-0.61	-0.41	0.03	0.58	0.77	1.65
ENSMUSG00000027189:TRIM44	0.00	0.52	2.01	2.06	2.20	1.81	1.44	1.59
ENSMUSG00000027194:TTC17	0.00	-0.08	-0.46	-0.88	-1.12	-0.86	-0.93	-0.63
ENSMUSG00000027198:EXT2	0.00	-0.20	-0.46	-0.60	-0.96	-1.71	-1.28	-0.86
ENSMUSG00000027199:GATM	0.00	0.76	0.04	0.18	0.60	1.79	3.47	3.77
ENSMUSG00000027207:GALK2	0.00	-0.26	-0.51	-0.40	-0.44	-1.01	-1.41	-1.22
ENSMUSG00000027210:MEIS2	0.00	0.35	1.16	0.80	-0.02	-1.74	-3.74	-5.03
ENSMUSG00000027215:CD82	0.00	0.92	2.42	-0.04	-0.16	-0.78	0.05	0.02
ENSMUSG00000027217:TSPAN18	0.00	0.30	-1.57	-1.60	-1.78	-1.99	-1.68	-0.55
ENSMUSG00000027220:SYT13	0.00	0.27	-0.10	0.22	3.76	5.06	5.86	5.73
ENSMUSG00000027221:CHST1	0.00	-0.27	-0.37	-0.24	0.89	3.14	1.95	1.39
ENSMUSG00000027223:MAPK8IP1	0.00	-0.19	0.01	0.71	1.21	1.10	1.59	1.52
ENSMUSG00000027224:DUOXA1	0.00	0.35	-0.34	-0.08	0.53	1.40	1.54	1.36
ENSMUSG00000027230:CREB3L1	0.00	-0.38	-0.58	0.63	1.64	0.89	1.17	0.90
ENSMUSG00000027233:PATL2	0.00	-1.05	-2.65	-3.96	-3.34	-3.22	-2.56	-2.60
ENSMUSG00000027238:FRMD5	0.00	0.35	-0.72	0.86	1.98	1.68	2.03	2.76
ENSMUSG00000027239:MDK	0.00	0.11	-0.60	-0.31	0.68	1.12	1.73	1.45
ENSMUSG00000027244:ATG13	0.00	-0.41	-0.68	-0.79	-0.83	-1.30	-1.48	-1.31
ENSMUSG00000027249:F2	0.00	-0.11	-0.84	-0.67	-0.74	-0.80	-0.73	-2.01
ENSMUSG00000027257:PACSIN3	0.00	-0.43	-0.66	-0.30	0.36	0.90	1.48	1.40
ENSMUSG00000027273:SNAP25	0.00	0.08	0.35	0.46	0.35	1.51	2.25	3.05
ENSMUSG00000027276:JAG1	0.00	-0.03	-0.50	-0.53	-0.72	-1.33	-1.27	-1.23
ENSMUSG00000027296:ITPKA	0.00	-0.22	-1.40	-1.37	-2.41	-4.08	-4.50	-5.98
ENSMUSG00000027297:LTK	0.00	-0.34	-1.73	-1.87	-2.84	-4.20	-4.08	-3.42
ENSMUSG00000027309:4930402H24RIK	0.00	-0.35	-0.48	-0.35	-0.61	-1.79	-1.54	-0.36
ENSMUSG00000027313:CHAC1	0.00	-1.58	-3.84	-3.46	-2.00	-1.78	1.65	1.42
ENSMUSG00000027314:DLL4	0.00	0.34	-0.19	0.05	0.47	1.16	1.17	0.57
ENSMUSG00000027315:SPINT1	0.00	-0.05	0.18	-0.34	-0.78	-1.03	-0.85	-0.48
ENSMUSG00000027317:PPP1R14D	0.00	0.03	-0.84	-1.36	-2.30	-3.43	-3.54	-3.43
ENSMUSG00000027329:SPEF1	0.00	-0.04	-0.79	-0.81	-1.49	-1.82	-1.56	-1.75
ENSMUSG00000027333:SMOX	0.00	-0.20	-1.14	-0.90	-1.10	-1.97	-2.08	-2.48
ENSMUSG00000027338:PRND	0.00	-0.32	-0.40	-0.62	-0.70	-1.13	-0.91	0.05
ENSMUSG00000027339:RASSF2	0.00	-0.73	-1.02	-0.12	0.63	0.87	0.84	0.62
ENSMUSG00000027340:SLC23A2	0.00	-0.53	0.27	-0.21	-0.54	-0.72	-1.00	-0.88
ENSMUSG00000027344:FSIP1	0.00	0.32	0.64	1.33	1.54	1.41	1.16	0.95
ENSMUSG00000027347:RASGRP1	0.00	-0.98	-3.05	-2.55	-2.30	-4.03	-3.23	-2.47
ENSMUSG00000027351:SPRED1	0.00	0.56	0.89	0.88	1.01	0.43	0.45	0.73
ENSMUSG00000027356:FERMT1	0.00	0.20	-0.22	0.30	1.60	3.86	4.69	5.60
ENSMUSG00000027359:SLC27A2	0.00	0.16	0.87	0.70	0.50	0.64	1.53	2.79
ENSMUSG00000027360:HDC	0.00	0.64	0.40	0.71	1.28	1.98	0.68	-0.34
ENSMUSG00000027364:USP50	0.00	0.13	-0.23	0.00	0.75	0.36	0.00	-1.55
ENSMUSG00000027368:DUSP2	0.00	1.18	0.85	0.68	0.49	1.60	2.26	1.55
ENSMUSG00000027375:MAL	0.00	-0.37	-2.99	-4.99	-6.49	-6.27	-6.31	-6.07
ENSMUSG00000027376:PROM2	0.00	-0.20	-0.30	-0.09	0.89	1.78	3.41	3.46
ENSMUSG00000027377:MALL	0.00	-0.05	-0.72	-0.84	-1.79	-2.53	-2.59	-2.14
ENSMUSG00000027381:BCL2L11	0.00	-0.13	0.93	0.83	1.53	2.20	1.74	2.20
ENSMUSG00000027384:NDUFAF5	0.00	-0.31	-0.71	-0.75	-0.92	-1.23	-0.69	-0.73
ENSMUSG00000027386:FBLN7	0.00	-0.56	-1.63	-1.64	-1.42	-1.29	-0.46	-0.55
ENSMUSG00000027387:ZC3H8	0.00	-0.13	0.50	0.71	0.95	1.10	1.66	0.72
ENSMUSG00000027395:POLR1B	0.00	-0.00	0.68	0.73	0.59	1.09	0.47	-0.09
ENSMUSG00000027400:PDYN	0.00	-0.17	1.01	2.51	2.69	0.82	0.62	0.52
ENSMUSG00000027401:TGM3	0.00	-0.59	2.07	3.22	2.55	0.80	-0.14	-0.48
ENSMUSG00000027416:OTOR	0.00	0.61	2.85	1.56	0.02	-0.02	-0.05	-0.05
ENSMUSG00000027419:PCSK2	0.00	0.03	0.35	0.51	0.73	1.89	2.44	3.88
ENSMUSG00000027430:DTD1	0.00	-0.06	-0.79	-0.64	0.04	0.62	1.50	1.80
ENSMUSG00000027434:NKX2-2	0.00	0.13	1.32	0.78	0.44	0.49	0.23	0.44
ENSMUSG00000027447:CST3	0.00	0.05	-0.33	-1.09	-1.34	-1.91	-1.58	-0.60
ENSMUSG00000027452:ACSS1	0.00	-1.20	-2.16	-1.85	-1.17	-2.01	-2.76	-4.49
ENSMUSG00000027457:SNPH	0.00	-0.17	-0.14	-0.23	-0.11	1.83	4.47	6.19
ENSMUSG00000027463:SLC52A3	0.00	-0.55	-2.46	-2.27	-3.98	-5.37	-4.51	-4.54
ENSMUSG00000027470:MYLK2	0.00	0.39	0.27	0.08	0.18	0.81	1.50	1.42
ENSMUSG00000027478:DNMT3B	0.00	-0.13	0.95	2.46	3.94	5.08	5.12	4.66
ENSMUSG00000027495:FAM210B	0.00	-0.07	-0.59	-0.49	-0.67	-1.64	-0.86	-0.50
ENSMUSG00000027506:TPD52	0.00	-0.12	0.03	-0.25	-0.64	-1.19	-0.82	-0.31
ENSMUSG00000027508:PAG1	0.00	0.13	-0.98	-1.64	-1.84	-2.68	-1.72	-1.02
ENSMUSG00000027523:GNAS	0.00	-0.10	-0.30	-0.14	0.19	0.25	0.79	1.62
ENSMUSG00000027525:PHACTR3	0.00	0.97	-0.42	0.47	1.05	2.17	2.78	1.92
ENSMUSG00000027533:FABP5	0.00	0.05	0.14	0.07	1.10	2.28	2.88	2.63
ENSMUSG00000027536:CHMP4C	0.00	-0.16	0.19	-0.20	-0.71	-2.09	-1.87	-1.02
ENSMUSG00000027544:NFATC2	0.00	-1.11	-0.12	0.97	1.60	1.03	0.92	0.28
ENSMUSG00000027546:ATP9A	0.00	0.02	-0.66	-0.56	-0.71	-1.58	-1.91	-2.67
ENSMUSG00000027555:CAR13	0.00	-0.33	-0.89	-1.26	-1.63	-2.57	-2.13	-1.34
ENSMUSG00000027559:CAR3	0.00	0.41	1.99	2.52	2.75	3.50	2.63	2.21
ENSMUSG00000027560:DOK5	0.00	-0.43	-0.83	-0.74	-0.51	-0.80	0.20	1.63
ENSMUSG00000027562:CAR2	0.00	0.42	2.36	2.06	2.04	2.58	1.98	1.39
ENSMUSG00000027566:PSMA7	0.00	0.11	0.10	0.39	0.70	1.01	1.04	0.79
ENSMUSG00000027569:MRGBP	0.00	-0.12	0.37	0.40	0.57	0.73	0.70	1.14
ENSMUSG00000027570:COL9A3	0.00	-0.89	-1.60	-1.39	-1.21	-1.11	-0.47	0.85
ENSMUSG00000027574:NKAIN4	0.00	-0.22	-0.33	-0.53	-1.80	-3.31	-3.27	-2.51
ENSMUSG00000027577:CHRNA4	0.00	-1.07	-3.19	-3.99	-4.56	-4.31	-4.27	-3.52
ENSMUSG00000027580:HELZ2	0.00	-0.37	-1.11	0.24	0.73	0.27	0.68	1.33
ENSMUSG00000027581:STMN3	0.00	-0.54	-0.67	-1.15	-2.32	-2.53	-2.13	-1.11
ENSMUSG00000027584:OPRL1	0.00	0.35	0.60	0.97	1.46	1.24	1.83	2.02
ENSMUSG00000027589:PCMTD2	0.00	-0.44	-0.26	-0.37	-0.56	-1.06	-0.53	0.49
ENSMUSG00000027603:GGT7	0.00	-0.02	-1.07	-1.35	-2.11	-2.09	-0.59	0.36
ENSMUSG00000027605:ACSS2	0.00	0.12	0.16	0.61	-0.04	-2.22	-1.73	-1.15
ENSMUSG00000027610:GSS	0.00	-0.10	-0.06	-0.61	-1.66	-2.36	-2.26	-2.84
ENSMUSG00000027611:PROCR	0.00	0.23	0.52	0.26	0.25	-0.01	0.17	1.50
ENSMUSG00000027624:EPB41L1	0.00	-0.39	-1.20	-0.96	-1.16	-2.56	-2.35	-2.09
ENSMUSG00000027637:1110008F13RIK	0.00	0.25	0.44	0.55	0.84	1.01	0.90	0.28
ENSMUSG00000027646:SRC	0.00	-0.46	-0.59	-0.73	-0.90	-1.01	-1.12	-1.25
ENSMUSG00000027656:WISP2	0.00	-0.02	0.06	0.22	0.76	1.08	0.88	0.22
ENSMUSG00000027660:SKIL	0.00	0.22	-0.04	0.22	1.77	2.45	2.06	1.80
ENSMUSG00000027663:ZMAT3	0.00	-0.92	-1.13	-0.64	-0.17	-0.23	-0.32	-0.32
ENSMUSG00000027668:MFN1	0.00	0.52	-0.04	-0.36	-0.60	-1.11	-1.54	-1.39
ENSMUSG00000027674:PEX5L	0.00	-0.23	-0.46	-0.34	-0.08	0.21	1.05	3.08
ENSMUSG00000027676:CCDC39	0.00	-0.10	-0.16	-0.22	-0.70	-1.58	-0.56	0.02
ENSMUSG00000027678:NCOA3	0.00	-0.20	0.69	0.78	0.49	-0.47	-1.19	-1.63
ENSMUSG00000027692:TNIK	0.00	0.08	0.85	0.60	-0.52	-1.61	-1.87	-2.44
ENSMUSG00000027695:PLD1	0.00	-0.25	0.40	0.42	0.67	0.33	-1.50	-2.54
ENSMUSG00000027698:NCEH1	0.00	-0.17	-1.23	-1.33	-1.70	-2.20	-1.58	-1.37
ENSMUSG00000027702:LRRC34	0.00	-0.38	-1.60	-1.58	-2.65	-5.05	-5.22	-5.77
ENSMUSG00000027703:LRRIQ4	0.00	-0.29	-0.24	-0.45	-0.21	-0.69	-2.50	-3.95
ENSMUSG00000027709:MCCC1	0.00	-0.15	-0.35	-0.44	-0.58	-0.89	-1.20	-0.92
ENSMUSG00000027712:ANXA5	0.00	-0.13	-0.02	-0.76	-1.27	-2.23	-2.23	-0.58
ENSMUSG00000027716:TRPC3	0.00	0.52	0.13	0.23	0.06	0.28	1.33	1.49
ENSMUSG00000027719:ADAD1	0.00	0.28	0.15	0.05	0.10	1.06	1.38	1.00
ENSMUSG00000027737:SLC7A11	0.00	-0.53	-1.80	-2.26	-1.07	-0.14	2.49	2.51
ENSMUSG00000027748:TRPC4	0.00	0.06	0.01	0.24	0.44	2.70	1.90	1.20
ENSMUSG00000027761:AADAC	0.00	-0.16	0.09	0.31	0.78	2.08	1.75	0.66
ENSMUSG00000027775:MFSD1	0.00	0.04	-0.63	-1.27	-1.06	-1.05	-1.47	-1.69
ENSMUSG00000027784:PPM1L	0.00	0.20	0.16	-0.72	-1.24	-1.22	-0.69	-0.22
ENSMUSG00000027794:SOHLH2	0.00	0.07	0.14	0.16	0.25	0.10	-1.10	-4.03
ENSMUSG00000027797:DCLK1	0.00	-0.46	-0.90	-1.05	0.39	0.74	2.24	3.23
ENSMUSG00000027799:NBEA	0.00	0.22	0.24	0.03	0.45	1.07	1.14	1.62
ENSMUSG00000027803:WWTR1	0.00	0.07	-0.44	-0.60	-0.67	-1.50	-0.76	-0.37
ENSMUSG00000027804:PPID	0.00	0.27	0.30	0.59	0.72	1.09	1.17	0.87
ENSMUSG00000027805:PFN2	0.00	0.52	0.83	0.73	0.72	0.75	0.85	1.21
ENSMUSG00000027820:MME	0.00	0.84	1.72	0.89	-0.57	-2.62	-3.56	-2.08
ENSMUSG00000027824:VMN2R1	0.00	0.41	-0.57	-1.04	-0.91	-1.36	-0.97	-1.17
ENSMUSG00000027848:OLFML3	0.00	0.71	2.35	1.15	-0.24	-0.37	-0.84	-0.25
ENSMUSG00000027855:SYCP1	0.00	1.25	2.15	1.19	1.28	2.65	2.48	1.46
ENSMUSG00000027858:TSPAN2	0.00	0.67	1.53	0.98	0.67	0.26	-0.10	0.63
ENSMUSG00000027860:VANGL1	0.00	-0.21	0.79	0.54	0.23	-1.81	-2.70	-1.99
ENSMUSG00000027861:CASQ2	0.00	0.78	3.31	4.28	2.94	0.08	-1.19	-0.91
ENSMUSG00000027863:CD2	0.00	-0.63	-0.81	-1.09	-2.32	-2.91	-2.69	-3.17
ENSMUSG00000027864:PTGFRN	0.00	-0.11	-0.43	-0.81	-1.49	-1.84	-1.68	-1.19
ENSMUSG00000027868:TBX15	0.00	0.35	-0.58	-1.50	-0.81	-0.35	-1.87	-1.91
ENSMUSG00000027875:HMGCS2	0.00	-0.21	-0.29	-0.22	-0.28	-0.27	0.32	1.04
ENSMUSG00000027895:KCNC4	0.00	-0.12	-0.68	-0.96	-0.99	-1.13	-0.76	-0.10
ENSMUSG00000027900:DRAM2	0.00	0.30	-0.24	-0.99	-1.21	-2.25	-1.78	-0.43
ENSMUSG00000027901:DENND2D	0.00	0.16	-0.27	-0.23	1.24	2.50	3.78	4.12
ENSMUSG00000027907:S100A11	0.00	0.22	0.35	0.32	-0.34	-1.28	-1.69	-0.73
ENSMUSG00000027913:CRCT1	0.00	0.61	0.83	1.65	2.63	2.86	2.10	0.21
ENSMUSG00000027931:NPR1	0.00	0.18	0.21	0.02	-0.18	-0.58	-0.76	-1.79
ENSMUSG00000027932:SLC27A3	0.00	-0.17	-0.77	-0.59	-1.04	-1.22	-0.73	-0.78
ENSMUSG00000027947:IL6RA	0.00	-0.16	1.08	-0.09	-2.51	-4.51	-4.08	-3.99
ENSMUSG00000027953:SLC50A1	0.00	-0.62	-0.69	-0.57	-0.80	-1.30	-0.58	-0.33
ENSMUSG00000027955:FAM198B	0.00	-0.50	-0.36	-0.05	-0.01	-0.60	-0.71	-1.35
ENSMUSG00000027956:TMEM144	0.00	-0.42	-2.16	-2.82	-3.04	-3.06	-1.98	-1.08
ENSMUSG00000027963:EXTL2	0.00	-0.19	0.00	-0.64	-1.07	-0.87	0.27	0.60
ENSMUSG00000027966:COL11A1	0.00	0.49	0.86	-0.04	-1.82	-2.80	-2.63	-1.70
ENSMUSG00000027983:CYP2U1	0.00	-0.11	-0.35	-0.52	-0.53	-1.23	-0.10	0.37
ENSMUSG00000027993:TRIM2	0.00	-0.56	-0.62	-0.21	-0.33	-0.86	-1.44	-1.45
ENSMUSG00000027995:TLR2	0.00	0.14	-0.18	-0.89	-1.46	-1.80	-0.61	-0.40
ENSMUSG00000027996:SFRP2	0.00	0.11	-0.04	0.39	0.68	1.16	1.77	2.05
ENSMUSG00000027999:PLA2G12A	0.00	-0.20	-0.62	-0.04	1.29	2.08	3.05	2.77
ENSMUSG00000028001:FGA	0.00	0.24	2.40	1.14	-0.43	-0.87	-0.72	-1.00
ENSMUSG00000028010:GAR1	0.00	0.19	0.42	0.44	0.60	0.92	1.21	0.98
ENSMUSG00000028019:PDGFC	0.00	-0.28	-0.07	-0.32	0.74	-0.89	-2.17	-3.77
ENSMUSG00000028020:GLRB	0.00	0.53	-0.17	-0.39	-0.25	-1.20	-0.52	0.80
ENSMUSG00000028023:PITX2	0.00	-0.05	-0.99	-1.02	1.84	3.02	3.40	3.18
ENSMUSG00000028028:ALPK1	0.00	0.40	0.09	0.33	-0.17	0.42	1.89	3.79
ENSMUSG00000028032:PAPSS1	0.00	-0.29	-0.60	-0.46	-1.23	-1.62	-0.70	-0.06
ENSMUSG00000028033:KCNQ5	0.00	-0.31	-0.02	-0.35	-0.43	-0.04	0.86	1.82
ENSMUSG00000028034:FUBP1	0.00	0.26	0.75	0.69	0.60	1.26	0.93	1.06
ENSMUSG00000028039:EFNA3	0.00	-0.85	-1.14	-1.42	-1.99	-1.91	-1.52	-2.47
ENSMUSG00000028041:ADAM15	0.00	-0.40	-0.61	-0.37	-0.61	-1.20	-1.13	-1.27
ENSMUSG00000028044:CKS1B	0.00	0.06	0.74	1.09	1.24	1.51	1.62	1.34
ENSMUSG00000028047:THBS3	0.00	0.31	0.93	1.14	2.09	3.02	3.35	3.38
ENSMUSG00000028048:GBA	0.00	-0.20	-0.76	-0.71	-0.86	-1.02	-1.15	-1.30
ENSMUSG00000028059:ARHGEF2	0.00	-0.68	-0.33	-0.31	-0.28	0.12	0.72	1.13
ENSMUSG00000028076:CD1D1	0.00	0.03	0.04	0.09	0.05	-1.01	-1.21	-1.90
ENSMUSG00000028078:DCLK2	0.00	-0.49	-0.60	-0.59	-1.03	-1.97	-1.38	-1.07
ENSMUSG00000028093:ACP6	0.00	0.22	0.08	0.44	0.52	-0.40	-1.06	-1.48
ENSMUSG00000028100:NUDT17	0.00	-0.28	-0.52	-0.68	-0.91	-1.13	-0.57	-0.18
ENSMUSG00000028101:PIAS3	0.00	-0.61	-0.58	-0.65	-0.52	-0.71	-1.52	-1.72
ENSMUSG00000028109:HORMAD1	0.00	0.36	0.20	0.39	1.34	1.45	0.54	-2.25
ENSMUSG00000028115:BNIPL	0.00	-0.24	-0.94	-0.96	0.92	1.77	2.12	1.53
ENSMUSG00000028124:GCLM	0.00	0.02	-0.11	0.15	1.19	1.83	1.26	1.02
ENSMUSG00000028125:ABCA4	0.00	0.43	2.09	2.24	2.01	3.03	3.44	3.27
ENSMUSG00000028127:ABCD3	0.00	-0.05	0.07	0.14	-0.15	-0.74	-1.06	-1.04
ENSMUSG00000028132:TMEM56	0.00	0.49	0.52	0.55	0.93	0.98	0.00	-1.34
ENSMUSG00000028148:THEM5	0.00	-0.23	-0.55	-0.13	0.46	-0.13	-0.36	-1.07
ENSMUSG00000028150:RORC	0.00	-0.75	-0.66	-0.73	0.65	2.34	2.34	2.84
ENSMUSG00000028152:TSPAN5	0.00	-0.66	-0.31	-0.42	0.23	0.58	0.97	1.09
ENSMUSG00000028158:MTTP	0.00	0.01	0.46	-0.02	0.84	1.59	1.50	2.23
ENSMUSG00000028163:NFKB1	0.00	0.02	1.00	0.76	0.11	-1.48	-0.83	0.41
ENSMUSG00000028164:MANBA	0.00	0.71	1.56	1.73	1.23	-1.61	-2.68	-2.86
ENSMUSG00000028173:WLS	0.00	0.31	-0.62	-0.68	-1.36	-1.80	-0.22	1.45
ENSMUSG00000028184:ADGRL2	0.00	0.12	2.28	1.69	2.83	2.96	3.44	4.16
ENSMUSG00000028186:UOX	0.00	0.64	-0.65	-0.65	-0.96	-1.15	-1.18	-1.29
ENSMUSG00000028189:CTBS	0.00	-0.27	-0.37	-0.52	-0.33	-0.82	0.21	1.26
ENSMUSG00000028194:DDAH1	0.00	-0.02	0.95	0.81	-0.37	-2.27	-2.14	-0.90
ENSMUSG00000028195:CYR61	0.00	3.96	2.91	2.36	1.29	0.31	1.75	4.96
ENSMUSG00000028197:COL24A1	0.00	0.03	0.07	0.19	-0.04	0.04	0.85	1.38
ENSMUSG00000028199:CRYZ	0.00	-0.15	-0.73	-1.46	-1.89	-1.99	-1.06	-0.69
ENSMUSG00000028217:CDH17	0.00	0.74	2.36	2.19	2.08	0.15	-0.45	-0.31
ENSMUSG00000028223:DECR1	0.00	-0.29	-0.66	-0.82	-1.18	-2.13	-1.45	0.17
ENSMUSG00000028226:MMP16	0.00	0.66	0.61	0.48	-0.03	-0.45	0.56	1.55
ENSMUSG00000028228:CPNE3	0.00	-0.14	-0.43	-0.71	-0.64	-0.87	-1.04	-0.64
ENSMUSG00000028229:RMDN1	0.00	0.07	-0.26	-0.55	-0.53	-1.28	-0.53	0.09
ENSMUSG00000028246:FAXC	0.00	-0.61	-0.87	-0.92	-0.29	0.43	1.99	3.45
ENSMUSG00000028251:TSTD3	0.00	-0.28	-1.06	-1.08	-1.09	-1.93	-1.04	-0.66
ENSMUSG00000028266:LMO4	0.00	0.64	2.10	2.02	2.32	2.21	2.33	2.81
ENSMUSG00000028268:GBP3	0.00	0.28	1.01	0.53	1.67	3.33	3.45	2.33
ENSMUSG00000028269:NA	0.00	0.62	2.88	1.07	3.46	5.15	5.45	5.48
ENSMUSG00000028270:GBP2	0.00	0.99	3.46	2.17	3.79	5.67	5.90	5.42
ENSMUSG00000028289:EPHA7	0.00	0.46	0.12	-0.53	-1.03	-1.42	-0.69	-0.04
ENSMUSG00000028329:XPA	0.00	-0.02	-0.39	-0.66	-0.80	-1.35	-0.64	0.23
ENSMUSG00000028333:ANP32B	0.00	0.35	0.42	0.50	0.62	0.62	1.14	0.91
ENSMUSG00000028337:CORO2A	0.00	0.94	0.10	0.64	0.80	1.26	3.46	5.54
ENSMUSG00000028348:MURC	0.00	0.56	0.50	1.13	0.54	-0.11	-1.09	-0.70
ENSMUSG00000028351:BRINP1	0.00	0.61	0.46	0.80	0.85	1.44	1.90	2.13
ENSMUSG00000028354:FMN2	0.00	-0.48	-0.38	-0.94	-1.29	-1.08	-1.23	-0.87
ENSMUSG00000028358:ZFP618	0.00	0.92	0.88	1.42	1.07	2.07	2.27	2.96
ENSMUSG00000028360:SLC44A5	0.00	-0.47	0.07	-0.08	-1.68	-2.05	-2.63	-2.16
ENSMUSG00000028373:ASTN2	0.00	-0.00	0.03	-0.23	0.39	0.98	1.99	2.21
ENSMUSG00000028381:UGCG	0.00	0.17	-0.24	-0.81	-0.54	-1.02	-0.74	-0.47
ENSMUSG00000028382:PTBP3	0.00	0.11	0.42	-0.44	-0.75	-1.32	-1.32	-0.81
ENSMUSG00000028385:SNX30	0.00	-0.36	-0.91	-1.15	-0.95	-1.35	-1.22	-0.88
ENSMUSG00000028391:WDR31	0.00	-0.71	-0.36	0.32	1.12	1.65	2.14	2.04
ENSMUSG00000028392:BSPRY	0.00	-0.34	-0.04	-0.24	0.33	1.49	2.30	2.38
ENSMUSG00000028399:PTPRD	0.00	0.15	-0.11	-0.77	-1.63	-2.34	-2.47	-0.58
ENSMUSG00000028402:MPDZ	0.00	0.50	0.86	0.78	1.24	1.88	2.66	3.97
ENSMUSG00000028411:APTX	0.00	-0.02	0.16	0.22	0.32	0.64	1.14	1.37
ENSMUSG00000028412:SLC44A1	0.00	-0.36	0.01	-0.24	-0.81	-1.77	-1.61	-0.23
ENSMUSG00000028413:B4GALT1	0.00	-0.37	-0.62	-0.85	-0.90	-1.00	-1.08	-1.16
ENSMUSG00000028420:TMEM38B	0.00	-0.06	-0.11	-0.20	-0.61	-1.00	-0.90	-1.38
ENSMUSG00000028434:EPB41L4B	0.00	-0.09	-0.87	-1.10	-1.73	-2.55	-1.76	-1.92
ENSMUSG00000028435:AQP3	0.00	0.30	-2.19	-4.15	-7.41	-8.94	-8.55	-8.20
ENSMUSG00000028444:CNTFR	0.00	-0.53	0.51	2.08	2.43	2.94	1.94	0.86
ENSMUSG00000028445:ENHO	0.00	-0.64	-0.37	-0.08	0.38	1.33	2.25	2.95
ENSMUSG00000028456:UNC13B	0.00	-0.35	-0.62	-0.57	-0.91	-1.78	-1.71	-0.88
ENSMUSG00000028461:CCDC107	0.00	-0.07	-0.22	-0.49	-0.74	-1.09	-0.89	-0.85
ENSMUSG00000028463:CAR9	0.00	-0.26	0.37	1.08	1.95	2.54	1.21	0.33
ENSMUSG00000028464:TPM2	0.00	0.56	0.19	0.75	2.00	2.89	3.67	4.28
ENSMUSG00000028470:HINT2	0.00	-0.09	-0.33	-0.49	-0.84	-1.09	-0.78	-0.16
ENSMUSG00000028480:GLIPR2	0.00	-0.31	-0.88	-0.92	0.02	0.30	1.91	2.16
ENSMUSG00000028484:PSIP1	0.00	0.17	0.31	0.24	0.54	0.52	0.93	1.13
ENSMUSG00000028487:BNC2	0.00	-0.14	1.18	1.52	1.91	1.70	-0.30	-1.66
ENSMUSG00000028488:SH3GL2	0.00	-0.99	-1.10	-1.16	-1.52	-3.61	-3.61	-3.05
ENSMUSG00000028494:PLIN2	0.00	-0.13	1.23	0.02	-0.84	-2.53	-1.95	-0.87
ENSMUSG00000028497:HACD4	0.00	0.30	-0.61	-1.17	-1.94	-2.11	-1.36	-0.20
ENSMUSG00000028517:PPAP2B	0.00	-0.56	-1.52	-1.92	-1.68	-2.75	-3.25	-3.14
ENSMUSG00000028518:PRKAA2	0.00	-0.22	-1.37	-1.45	-1.56	-2.29	-1.70	-1.20
ENSMUSG00000028519:DAB1	0.00	-0.13	1.64	2.18	2.01	1.61	2.10	2.26
ENSMUSG00000028524:SGIP1	0.00	0.24	-0.27	0.19	-0.03	0.63	2.53	3.75
ENSMUSG00000028525:PDE4B	0.00	0.29	-1.43	-1.37	-0.96	2.26	3.29	3.63
ENSMUSG00000028527:AK4	0.00	1.23	0.37	-0.42	-2.05	-2.89	-2.77	-3.35
ENSMUSG00000028528:DNAJC6	0.00	0.03	-0.19	-0.13	-1.39	-3.98	-3.77	-3.09
ENSMUSG00000028536:2610528J11RIK	0.00	0.44	0.76	0.35	2.76	5.29	5.13	5.45
ENSMUSG00000028538:ST3GAL3	0.00	-0.45	-1.58	-0.93	-0.35	-0.53	-1.12	-1.57
ENSMUSG00000028539:ARTN	0.00	-0.24	-0.20	0.16	1.17	2.00	3.15	3.11
ENSMUSG00000028541:B4GALT2	0.00	-0.69	-0.64	-0.40	0.49	0.64	1.43	2.11
ENSMUSG00000028542:SLC6A9	0.00	-1.31	-2.75	-2.28	-1.38	-0.86	1.27	1.22
ENSMUSG00000028545:BEND5	0.00	-0.01	-0.01	-0.10	1.64	1.65	1.61	1.52
ENSMUSG00000028550:ATG4C	0.00	-0.67	-0.60	-1.03	-1.57	-2.44	-1.23	-0.77
ENSMUSG00000028551:CDKN2C	0.00	-0.15	-0.38	-1.01	-0.80	-1.52	-1.20	-1.73
ENSMUSG00000028555:TTC39A	0.00	0.30	-0.05	-0.30	-0.34	-0.48	1.01	2.31
ENSMUSG00000028558:CALR4	0.00	-0.59	-3.34	-4.26	-4.56	-4.32	-3.34	-3.91
ENSMUSG00000028565:NFIA	0.00	-0.53	-0.57	-0.68	-0.95	-1.14	-0.65	-0.21
ENSMUSG00000028571:CYP2J13	0.00	0.41	1.65	2.28	3.61	3.77	3.83	4.56
ENSMUSG00000028572:HOOK1	0.00	0.21	0.51	0.67	1.07	1.26	1.10	1.41
